id,page_views,user_group
1,19470,Group1
2,17568,Group1
3,13197,Group1
4,11319,Group1
5,8820,Group1
6,8768,Group1
7,8294,Group1
8,8073,Group1
9,7962,Group1
10,7938,Group1
11,7851,Group1
12,7121,Group1
13,6868,Group1
14,6620,Group1
15,6507,Group1
16,6291,Group1
17,6274,Group1
18,6193,Group1
19,5935,Group1
20,5859,Group1
21,5786,Group1
22,5761,Group1
23,5672,Group1
24,5636,Group1
25,5619,Group1
26,5536,Group1
27,5305,Group1
28,5248,Group1
29,5225,Group1
30,5130,Group1
31,5125,Group1
32,4994,Group1
33,4954,Group1
34,4932,Group1
35,4751,Group1
36,4632,Group1
37,4573,Group1
38,4506,Group1
39,4432,Group1
40,4428,Group1
41,4347,Group1
42,4332,Group1
43,4288,Group1
44,4287,Group1
45,4285,Group1
46,4254,Group1
47,4199,Group1
48,4184,Group1
49,4175,Group1
50,4168,Group1
51,3996,Group1
52,3920,Group1
53,3832,Group1
54,3819,Group1
55,3818,Group1
56,3748,Group1
57,3745,Group1
58,3740,Group1
59,3709,Group1
60,3603,Group1
61,3549,Group1
62,3482,Group1
63,3466,Group1
64,3466,Group1
65,3409,Group1
66,3397,Group1
67,3391,Group1
68,3366,Group1
69,3257,Group1
70,3239,Group1
71,3195,Group1
72,3160,Group1
73,3150,Group1
74,3129,Group1
75,3129,Group1
76,3122,Group1
77,3107,Group1
78,3069,Group1
79,2971,Group1
80,2939,Group1
81,2923,Group1
82,2903,Group1
83,2894,Group1
84,2863,Group1
85,2798,Group1
86,2797,Group1
87,2773,Group1
88,2763,Group1
89,2763,Group1
90,2745,Group1
91,2724,Group1
92,2714,Group1
93,2713,Group1
94,2691,Group1
95,2690,Group1
96,2690,Group1
97,2686,Group1
98,2683,Group1
99,2667,Group1
100,2649,Group1
101,2641,Group1
102,2611,Group1
103,2521,Group1
104,2507,Group1
105,2494,Group1
106,2469,Group1
107,2461,Group1
108,2417,Group1
109,2410,Group1
110,2400,Group1
111,2396,Group1
112,2387,Group1
113,2386,Group1
114,2371,Group1
115,2369,Group1
116,2331,Group1
117,2287,Group1
118,2264,Group1
119,2258,Group1
120,2239,Group1
121,2233,Group1
122,2229,Group1
123,2227,Group1
124,2221,Group1
125,2206,Group1
126,2205,Group1
127,2198,Group1
128,2191,Group1
129,2130,Group1
130,2118,Group1
131,2112,Group1
132,2107,Group1
133,2089,Group1
134,2083,Group1
135,2057,Group1
136,2040,Group1
137,2036,Group1
138,2035,Group1
139,2031,Group1
140,2025,Group1
141,1978,Group1
142,1878,Group1
143,1871,Group1
144,1859,Group1
145,1858,Group1
146,1854,Group1
147,1840,Group1
148,1830,Group1
149,1828,Group1
150,1822,Group1
151,1805,Group1
152,1799,Group1
153,1796,Group1
154,1771,Group1
155,1768,Group1
156,1768,Group1
157,1761,Group1
158,1749,Group1
159,1731,Group1
160,1729,Group1
161,1694,Group1
162,1692,Group1
163,1690,Group1
164,1661,Group1
165,1654,Group1
166,1653,Group1
167,1650,Group1
168,1645,Group1
169,1640,Group1
170,1639,Group1
171,1634,Group1
172,1621,Group1
173,1621,Group1
174,1600,Group1
175,1586,Group1
176,1583,Group1
177,1580,Group1
178,1578,Group1
179,1539,Group1
180,1532,Group1
181,1527,Group1
182,1518,Group1
183,1516,Group1
184,1505,Group1
185,1505,Group1
186,1497,Group1
187,1484,Group1
188,1474,Group1
189,1470,Group1
190,1469,Group1
191,1456,Group1
192,1446,Group1
193,1443,Group1
194,1438,Group1
195,1436,Group1
196,1431,Group1
197,1430,Group1
198,1430,Group1
199,1427,Group1
200,1423,Group1
201,1417,Group1
202,1402,Group1
203,1401,Group1
204,1400,Group1
205,1392,Group1
206,1390,Group1
207,1381,Group1
208,1381,Group1
209,1378,Group1
210,1374,Group1
211,1373,Group1
212,1372,Group1
213,1372,Group1
214,1370,Group1
215,1366,Group1
216,1345,Group1
217,1345,Group1
218,1340,Group1
219,1338,Group1
220,1335,Group1
221,1333,Group1
222,1329,Group1
223,1314,Group1
224,1310,Group1
225,1309,Group1
226,1306,Group1
227,1304,Group1
228,1303,Group1
229,1293,Group1
230,1290,Group1
231,1283,Group1
232,1265,Group1
233,1260,Group1
234,1227,Group1
235,1224,Group1
236,1222,Group1
237,1211,Group1
238,1211,Group1
239,1208,Group1
240,1198,Group1
241,1195,Group1
242,1188,Group1
243,1188,Group1
244,1187,Group1
245,1181,Group1
246,1178,Group1
247,1172,Group1
248,1172,Group1
249,1168,Group1
250,1166,Group1
251,1163,Group1
252,1160,Group1
253,1156,Group1
254,1141,Group1
255,1140,Group1
256,1138,Group1
257,1129,Group1
258,1122,Group1
259,1121,Group1
260,1115,Group1
261,1113,Group1
262,1109,Group1
263,1096,Group1
264,1090,Group1
265,1090,Group1
266,1083,Group1
267,1078,Group1
268,1077,Group1
269,1075,Group1
270,1065,Group1
271,1059,Group1
272,1058,Group1
273,1057,Group1
274,1050,Group1
275,1050,Group1
276,1050,Group1
277,1043,Group1
278,1039,Group1
279,1037,Group1
280,1030,Group1
281,1027,Group1
282,1021,Group1
283,1012,Group1
284,1012,Group1
285,1003,Group1
286,1000,Group1
287,993,Group1
288,982,Group1
289,981,Group1
290,981,Group1
291,978,Group1
292,976,Group1
293,964,Group1
294,947,Group1
295,945,Group1
296,945,Group1
297,945,Group1
298,945,Group1
299,945,Group1
300,944,Group1
301,942,Group1
302,942,Group1
303,940,Group1
304,933,Group1
305,932,Group1
306,923,Group1
307,922,Group1
308,922,Group1
309,916,Group1
310,915,Group1
311,915,Group1
312,912,Group1
313,911,Group1
314,907,Group1
315,905,Group1
316,902,Group1
317,901,Group1
318,890,Group1
319,888,Group1
320,886,Group1
321,885,Group1
322,883,Group1
323,883,Group1
324,881,Group1
325,881,Group1
326,876,Group1
327,875,Group1
328,873,Group1
329,871,Group1
330,858,Group1
331,858,Group1
332,852,Group1
333,852,Group1
334,850,Group1
335,848,Group1
336,847,Group1
337,844,Group1
338,844,Group1
339,844,Group1
340,842,Group1
341,842,Group1
342,837,Group1
343,833,Group1
344,828,Group1
345,827,Group1
346,822,Group1
347,818,Group1
348,817,Group1
349,814,Group1
350,812,Group1
351,812,Group1
352,811,Group1
353,809,Group1
354,804,Group1
355,804,Group1
356,802,Group1
357,799,Group1
358,798,Group1
359,796,Group1
360,794,Group1
361,792,Group1
362,790,Group1
363,788,Group1
364,788,Group1
365,787,Group1
366,786,Group1
367,778,Group1
368,778,Group1
369,777,Group1
370,774,Group1
371,774,Group1
372,773,Group1
373,770,Group1
374,769,Group1
375,766,Group1
376,763,Group1
377,762,Group1
378,759,Group1
379,759,Group1
380,758,Group1
381,757,Group1
382,754,Group1
383,754,Group1
384,751,Group1
385,749,Group1
386,747,Group1
387,745,Group1
388,737,Group1
389,737,Group1
390,732,Group1
391,732,Group1
392,730,Group1
393,724,Group1
394,724,Group1
395,723,Group1
396,722,Group1
397,721,Group1
398,721,Group1
399,718,Group1
400,716,Group1
401,714,Group1
402,710,Group1
403,705,Group1
404,702,Group1
405,700,Group1
406,697,Group1
407,695,Group1
408,695,Group1
409,692,Group1
410,689,Group1
411,687,Group1
412,687,Group1
413,685,Group1
414,684,Group1
415,683,Group1
416,680,Group1
417,679,Group1
418,676,Group1
419,676,Group1
420,676,Group1
421,675,Group1
422,673,Group1
423,666,Group1
424,662,Group1
425,659,Group1
426,659,Group1
427,657,Group1
428,656,Group1
429,653,Group1
430,652,Group1
431,647,Group1
432,646,Group1
433,645,Group1
434,645,Group1
435,645,Group1
436,644,Group1
437,641,Group1
438,640,Group1
439,640,Group1
440,640,Group1
441,639,Group1
442,635,Group1
443,635,Group1
444,631,Group1
445,628,Group1
446,626,Group1
447,624,Group1
448,624,Group1
449,624,Group1
450,621,Group1
451,619,Group1
452,611,Group1
453,604,Group1
454,604,Group1
455,604,Group1
456,600,Group1
457,598,Group1
458,597,Group1
459,593,Group1
460,589,Group1
461,589,Group1
462,586,Group1
463,584,Group1
464,583,Group1
465,582,Group1
466,580,Group1
467,578,Group1
468,578,Group1
469,577,Group1
470,577,Group1
471,576,Group1
472,576,Group1
473,575,Group1
474,573,Group1
475,568,Group1
476,567,Group1
477,565,Group1
478,560,Group1
479,560,Group1
480,559,Group1
481,554,Group1
482,552,Group1
483,549,Group1
484,549,Group1
485,547,Group1
486,545,Group1
487,544,Group1
488,542,Group1
489,541,Group1
490,541,Group1
491,540,Group1
492,540,Group1
493,540,Group1
494,540,Group1
495,540,Group1
496,535,Group1
497,532,Group1
498,531,Group1
499,531,Group1
500,529,Group1
501,529,Group1
502,528,Group1
503,527,Group1
504,523,Group1
505,521,Group1
506,519,Group1
507,519,Group1
508,517,Group1
509,517,Group1
510,517,Group1
511,515,Group1
512,514,Group1
513,512,Group1
514,510,Group1
515,508,Group1
516,505,Group1
517,504,Group1
518,504,Group1
519,503,Group1
520,503,Group1
521,502,Group1
522,502,Group1
523,499,Group1
524,499,Group1
525,498,Group1
526,498,Group1
527,498,Group1
528,497,Group1
529,497,Group1
530,497,Group1
531,491,Group1
532,491,Group1
533,491,Group1
534,490,Group1
535,489,Group1
536,485,Group1
537,483,Group1
538,482,Group1
539,480,Group1
540,478,Group1
541,478,Group1
542,477,Group1
543,477,Group1
544,477,Group1
545,475,Group1
546,475,Group1
547,475,Group1
548,474,Group1
549,474,Group1
550,473,Group1
551,472,Group1
552,470,Group1
553,466,Group1
554,465,Group1
555,464,Group1
556,462,Group1
557,461,Group1
558,460,Group1
559,460,Group1
560,460,Group1
561,459,Group1
562,459,Group1
563,457,Group1
564,457,Group1
565,456,Group1
566,455,Group1
567,454,Group1
568,453,Group1
569,452,Group1
570,450,Group1
571,448,Group1
572,446,Group1
573,446,Group1
574,445,Group1
575,444,Group1
576,443,Group1
577,443,Group1
578,443,Group1
579,442,Group1
580,442,Group1
581,440,Group1
582,439,Group1
583,439,Group1
584,438,Group1
585,437,Group1
586,436,Group1
587,436,Group1
588,435,Group1
589,433,Group1
590,428,Group1
591,426,Group1
592,425,Group1
593,425,Group1
594,425,Group1
595,425,Group1
596,425,Group1
597,424,Group1
598,424,Group1
599,423,Group1
600,423,Group1
601,422,Group1
602,422,Group1
603,422,Group1
604,421,Group1
605,420,Group1
606,420,Group1
607,418,Group1
608,418,Group1
609,417,Group1
610,416,Group1
611,416,Group1
612,415,Group1
613,414,Group1
614,414,Group1
615,413,Group1
616,413,Group1
617,412,Group1
618,412,Group1
619,412,Group1
620,411,Group1
621,409,Group1
622,408,Group1
623,408,Group1
624,408,Group1
625,407,Group1
626,407,Group1
627,406,Group1
628,405,Group1
629,405,Group1
630,404,Group1
631,404,Group1
632,404,Group1
633,403,Group1
634,402,Group1
635,400,Group1
636,399,Group1
637,397,Group1
638,397,Group1
639,395,Group1
640,395,Group1
641,394,Group1
642,393,Group1
643,393,Group1
644,392,Group1
645,390,Group1
646,390,Group1
647,389,Group1
648,389,Group1
649,386,Group1
650,385,Group1
651,384,Group1
652,382,Group1
653,382,Group1
654,381,Group1
655,378,Group1
656,376,Group1
657,375,Group1
658,375,Group1
659,373,Group1
660,373,Group1
661,372,Group1
662,372,Group1
663,370,Group1
664,370,Group1
665,369,Group1
666,368,Group1
667,367,Group1
668,367,Group1
669,367,Group1
670,366,Group1
671,366,Group1
672,362,Group1
673,361,Group1
674,360,Group1
675,359,Group1
676,359,Group1
677,358,Group1
678,355,Group1
679,353,Group1
680,353,Group1
681,353,Group1
682,352,Group1
683,350,Group1
684,350,Group1
685,350,Group1
686,349,Group1
687,348,Group1
688,348,Group1
689,348,Group1
690,348,Group1
691,347,Group1
692,346,Group1
693,346,Group1
694,345,Group1
695,345,Group1
696,344,Group1
697,342,Group1
698,340,Group1
699,339,Group1
700,337,Group1
701,336,Group1
702,333,Group1
703,331,Group1
704,331,Group1
705,329,Group1
706,329,Group1
707,328,Group1
708,326,Group1
709,326,Group1
710,325,Group1
711,324,Group1
712,323,Group1
713,323,Group1
714,323,Group1
715,323,Group1
716,322,Group1
717,322,Group1
718,322,Group1
719,321,Group1
720,321,Group1
721,321,Group1
722,320,Group1
723,319,Group1
724,319,Group1
725,319,Group1
726,318,Group1
727,318,Group1
728,317,Group1
729,317,Group1
730,317,Group1
731,317,Group1
732,316,Group1
733,316,Group1
734,316,Group1
735,316,Group1
736,315,Group1
737,314,Group1
738,314,Group1
739,313,Group1
740,313,Group1
741,313,Group1
742,312,Group1
743,312,Group1
744,311,Group1
745,311,Group1
746,310,Group1
747,310,Group1
748,310,Group1
749,309,Group1
750,308,Group1
751,308,Group1
752,307,Group1
753,307,Group1
754,307,Group1
755,306,Group1
756,305,Group1
757,305,Group1
758,305,Group1
759,304,Group1
760,304,Group1
761,303,Group1
762,303,Group1
763,303,Group1
764,302,Group1
765,302,Group1
766,301,Group1
767,301,Group1
768,301,Group1
769,301,Group1
770,299,Group1
771,299,Group1
772,299,Group1
773,299,Group1
774,299,Group1
775,298,Group1
776,297,Group1
777,296,Group1
778,296,Group1
779,295,Group1
780,294,Group1
781,294,Group1
782,294,Group1
783,293,Group1
784,293,Group1
785,293,Group1
786,293,Group1
787,292,Group1
788,292,Group1
789,292,Group1
790,291,Group1
791,291,Group1
792,291,Group1
793,291,Group1
794,290,Group1
795,290,Group1
796,290,Group1
797,288,Group1
798,288,Group1
799,287,Group1
800,287,Group1
801,286,Group1
802,286,Group1
803,285,Group1
804,284,Group1
805,284,Group1
806,284,Group1
807,283,Group1
808,282,Group1
809,282,Group1
810,281,Group1
811,279,Group1
812,278,Group1
813,278,Group1
814,278,Group1
815,278,Group1
816,278,Group1
817,277,Group1
818,277,Group1
819,277,Group1
820,276,Group1
821,276,Group1
822,276,Group1
823,275,Group1
824,274,Group1
825,274,Group1
826,274,Group1
827,273,Group1
828,272,Group1
829,271,Group1
830,270,Group1
831,269,Group1
832,267,Group1
833,267,Group1
834,267,Group1
835,266,Group1
836,266,Group1
837,266,Group1
838,266,Group1
839,264,Group1
840,263,Group1
841,262,Group1
842,261,Group1
843,261,Group1
844,261,Group1
845,260,Group1
846,258,Group1
847,256,Group1
848,256,Group1
849,256,Group1
850,255,Group1
851,254,Group1
852,254,Group1
853,253,Group1
854,253,Group1
855,253,Group1
856,252,Group1
857,252,Group1
858,251,Group1
859,251,Group1
860,250,Group1
861,250,Group1
862,250,Group1
863,249,Group1
864,249,Group1
865,249,Group1
866,249,Group1
867,247,Group1
868,246,Group1
869,246,Group1
870,245,Group1
871,245,Group1
872,245,Group1
873,245,Group1
874,245,Group1
875,244,Group1
876,244,Group1
877,244,Group1
878,243,Group1
879,242,Group1
880,242,Group1
881,242,Group1
882,241,Group1
883,241,Group1
884,240,Group1
885,239,Group1
886,239,Group1
887,238,Group1
888,238,Group1
889,237,Group1
890,236,Group1
891,235,Group1
892,235,Group1
893,235,Group1
894,234,Group1
895,234,Group1
896,234,Group1
897,234,Group1
898,233,Group1
899,232,Group1
900,232,Group1
901,231,Group1
902,231,Group1
903,229,Group1
904,229,Group1
905,229,Group1
906,228,Group1
907,228,Group1
908,228,Group1
909,227,Group1
910,227,Group1
911,227,Group1
912,226,Group1
913,226,Group1
914,224,Group1
915,223,Group1
916,223,Group1
917,222,Group1
918,221,Group1
919,220,Group1
920,219,Group1
921,219,Group1
922,218,Group1
923,218,Group1
924,217,Group1
925,216,Group1
926,216,Group1
927,216,Group1
928,216,Group1
929,216,Group1
930,215,Group1
931,215,Group1
932,215,Group1
933,215,Group1
934,215,Group1
935,215,Group1
936,214,Group1
937,213,Group1
938,212,Group1
939,212,Group1
940,212,Group1
941,211,Group1
942,211,Group1
943,210,Group1
944,210,Group1
945,209,Group1
946,209,Group1
947,208,Group1
948,207,Group1
949,206,Group1
950,206,Group1
951,206,Group1
952,206,Group1
953,205,Group1
954,205,Group1
955,205,Group1
956,204,Group1
957,204,Group1
958,204,Group1
959,203,Group1
960,201,Group1
961,201,Group1
962,201,Group1
963,200,Group1
964,200,Group1
965,199,Group1
966,198,Group1
967,197,Group1
968,197,Group1
969,196,Group1
970,196,Group1
971,196,Group1
972,196,Group1
973,196,Group1
974,196,Group1
975,195,Group1
976,195,Group1
977,195,Group1
978,194,Group1
979,194,Group1
980,194,Group1
981,194,Group1
982,193,Group1
983,193,Group1
984,193,Group1
985,193,Group1
986,193,Group1
987,193,Group1
988,192,Group1
989,192,Group1
990,192,Group1
991,192,Group1
992,191,Group1
993,191,Group1
994,191,Group1
995,190,Group1
996,190,Group1
997,190,Group1
998,190,Group1
999,189,Group1
1000,188,Group1
1001,188,Group1
1002,188,Group1
1003,188,Group1
1004,188,Group1
1005,187,Group1
1006,187,Group1
1007,187,Group1
1008,187,Group1
1009,187,Group1
1010,186,Group1
1011,185,Group1
1012,185,Group1
1013,185,Group1
1014,185,Group1
1015,184,Group1
1016,182,Group1
1017,182,Group1
1018,182,Group1
1019,182,Group1
1020,181,Group1
1021,181,Group1
1022,181,Group1
1023,181,Group1
1024,181,Group1
1025,181,Group1
1026,180,Group1
1027,179,Group1
1028,179,Group1
1029,179,Group1
1030,179,Group1
1031,179,Group1
1032,178,Group1
1033,178,Group1
1034,177,Group1
1035,177,Group1
1036,176,Group1
1037,176,Group1
1038,176,Group1
1039,174,Group1
1040,173,Group1
1041,173,Group1
1042,172,Group1
1043,171,Group1
1044,171,Group1
1045,171,Group1
1046,171,Group1
1047,170,Group1
1048,170,Group1
1049,170,Group1
1050,170,Group1
1051,170,Group1
1052,170,Group1
1053,170,Group1
1054,169,Group1
1055,169,Group1
1056,169,Group1
1057,169,Group1
1058,169,Group1
1059,169,Group1
1060,168,Group1
1061,168,Group1
1062,167,Group1
1063,166,Group1
1064,166,Group1
1065,166,Group1
1066,166,Group1
1067,166,Group1
1068,166,Group1
1069,166,Group1
1070,165,Group1
1071,165,Group1
1072,165,Group1
1073,163,Group1
1074,163,Group1
1075,163,Group1
1076,162,Group1
1077,162,Group1
1078,161,Group1
1079,161,Group1
1080,161,Group1
1081,161,Group1
1082,160,Group1
1083,160,Group1
1084,159,Group1
1085,159,Group1
1086,158,Group1
1087,158,Group1
1088,158,Group1
1089,158,Group1
1090,157,Group1
1091,157,Group1
1092,157,Group1
1093,157,Group1
1094,157,Group1
1095,157,Group1
1096,156,Group1
1097,156,Group1
1098,156,Group1
1099,156,Group1
1100,155,Group1
1101,155,Group1
1102,155,Group1
1103,154,Group1
1104,154,Group1
1105,154,Group1
1106,153,Group1
1107,153,Group1
1108,153,Group1
1109,153,Group1
1110,153,Group1
1111,152,Group1
1112,152,Group1
1113,152,Group1
1114,152,Group1
1115,152,Group1
1116,151,Group1
1117,151,Group1
1118,151,Group1
1119,150,Group1
1120,150,Group1
1121,150,Group1
1122,149,Group1
1123,149,Group1
1124,149,Group1
1125,148,Group1
1126,148,Group1
1127,148,Group1
1128,148,Group1
1129,148,Group1
1130,147,Group1
1131,147,Group1
1132,147,Group1
1133,147,Group1
1134,147,Group1
1135,147,Group1
1136,146,Group1
1137,146,Group1
1138,145,Group1
1139,145,Group1
1140,145,Group1
1141,145,Group1
1142,145,Group1
1143,145,Group1
1144,144,Group1
1145,144,Group1
1146,144,Group1
1147,144,Group1
1148,143,Group1
